,artist,rank,title,url
65,Ja Mezz,66,"Birthday (Feat. 박재범, Dok2)",https://www.youtube.com/embed/FnPcFXTEvYM
66,한동근,67,그대라는 사치,https://www.youtube.com/embed/WYy2fROj7uU
67,The Chainsmokers,68,Something Just Like This,https://www.youtube.com/embed/FM7MFYoylVs
68,혁오 (HYUKOH),69,TOMBOY,https://www.youtube.com/embed/pC6tPEaAiYU
69,아이오아이 (I.O.I),70,소나기,https://www.youtube.com/embed/QCKOWQ-_CYc
70,정승환,71,너였다면,https://www.youtube.com/embed/EjHAgoN2KtU
71,방탄소년단,72,봄날,https://www.youtube.com/embed/xEeFrLSkMm8
72,TWICE (트와이스),73,KNOCK KNOCK,https://www.youtube.com/embed/8A2t_tAjMz8
73,씨스타,74,LONELY,https://www.youtube.com/embed/KbXV2R_Yd1E
74,정키,75,부담이 돼 (Feat. 휘인 Of 마마무),https://www.youtube.com/embed/wxQZ48TgqZk
75,길구봉구,76,바람이 불었으면 좋겠어,https://www.youtube.com/embed/ms24eip09Mo
76,악동뮤지션,77,오랜 날 오랜 밤,https://www.youtube.com/embed/wEQpfil0IYA
77,FTISLAND,78,사랑앓이 (With 김나영),https://www.youtube.com/embed/aSyXgv_v3no
78,PRODUCE 101,79,나야 나 (PICK ME),https://www.youtube.com/embed/m2Up1-QZBKw
79,Junoflo (주노플로),80,"Eyes On Me (Feat. G.Soul, Dok2)",https://www.youtube.com/embed/Elsr9Y0Vlx8
80,Wanna One (워너원),81,To Be One (Intro.),https://www.youtube.com/embed/lIj0iP32uXY
81,EXO,82,What U do?,https://www.youtube.com/embed/GHX1n9s_QTk
82,마마무,83,Decalcomanie (데칼코마니),https://www.youtube.com/embed/y2OFPvYxZuY
83,WINNER,84,ISLAND,https://www.youtube.com/embed/kRj4toENrnA
84,언니쓰,85,맞지?,https://www.youtube.com/embed/Nv5_uvyqI9s
85,김나영,86,그럴걸,https://www.youtube.com/embed/TD3uOASyj1s
86,싸이 (PSY),87,어땠을까 (Feat. 박정현),https://www.youtube.com/embed/C67kIdppbRg
87,EXO,88,기억을 걷는 밤 (Walk On Memories),https://www.youtube.com/embed/2CBz0h0AAwM
88,신현희와김루트,89,오빠야,https://www.youtube.com/embed/OmjN_b07syo
89,TWICE (트와이스),90,TT,https://www.youtube.com/embed/ePpPVE-GGJw
90,EXO,91,Forever,https://www.youtube.com/embed/dj-OEG32OR4
91,소녀시대,92,All Night,https://www.youtube.com/embed/f4w8IbQTJpY
92,하이라이트 (Highlight),93,얼굴 찌푸리지 말아요,https://www.youtube.com/embed/1kcwvcbO8MI
93,Charlie Puth,94,See You Again (폴 워커 추모 엔딩곡),https://www.youtube.com/embed/_ogDymI9BKM
94,볼빨간사춘기,95,심술,https://www.youtube.com/embed/ehsogf-UI2A
95,EXO,96,너의 손짓 (Touch It),https://www.youtube.com/embed/gOqxxYbHk-Y
96,EXO,97,다이아몬드 (Diamond),https://www.youtube.com/embed/QQRJjoGrsqw
97,딥플로우,98,"작두 (Feat. 넉살, Huckleberry P)",https://www.youtube.com/embed/-UCFn6csp0c
98,Crush,99,Beautiful,https://www.youtube.com/embed/W0cs6ciCt_k
99,매니악,100,"젓가락 (Feat. Tiger JK, Bizzy, Ann One)",https://www.youtube.com/embed/z7d1fDUyuzQ
