,artist,rank,title,url
65,이적,66,걱정말아요 그대,https://www.youtube.com/embed/h3ETX6Pv2Yw
66,Ariana Grande,67,Problem (Feat. Iggy Azalea),https://www.youtube.com/embed/iS1g8G_njx8
67,볼빨간사춘기,68,남이 될 수 있을까,https://www.youtube.com/embed/Z1pGxkXyDvc
68,DEAN,69,넘어와 (Feat. 백예린),https://www.youtube.com/embed/YY19BIIHCYQ
69,창모 (CHANGMO),70,아이야 (Feat. Beenzino),https://www.youtube.com/embed/x_UDoPqo930
70,윤종신,71,내일 할 일,https://www.youtube.com/embed/pElvjUAbHP8
71,Hash Swan,72,MA$HIMARO,https://www.youtube.com/embed/74cKzlYmCR4
72,NCT DREAM,73,My Page,https://www.youtube.com/embed/solVijcNQNE
73,Mike Perry,74,The Ocean (Feat. Shy Martin) (Radio Edit.),https://www.youtube.com/embed/5JxgDJvqGmM
74,씨스타,75,SHAKE IT,https://www.youtube.com/embed/x9-TIy7WPQI
75,Charlie Puth,76,We Don`t Talk Anymore (Feat. Selena Gomez),https://www.youtube.com/embed/3AtDnEC4zak
76,Charlie Puth,77,One Call Away,https://www.youtube.com/embed/BxuY9FET9Y4
77,여자친구 (GFRIEND),78,너 그리고 나 (NAVILLERA),https://www.youtube.com/embed/Se8bbsUFjC8
78,Ed Sheeran,79,Thinking Out Loud,https://www.youtube.com/embed/lp-EO5I60KA
79,블락비 (Block B),80,YESTERDAY,https://www.youtube.com/embed/3q22SInyiX8
80,악동뮤지션,81,MY DARLING,https://www.youtube.com/embed/-RyevWpDqZ0
81,박원,82,노력,https://www.youtube.com/embed/1hZa60t8wSE
82,버즈,83,남자를 몰라,https://www.youtube.com/embed/s8knyig3swA
83,씨잼 (C Jamm),84,puzzle,https://www.youtube.com/embed/6STQiElLzl8
84,싸이 (PSY),85,어땠을까 (Feat. 박정현),https://www.youtube.com/embed/C67kIdppbRg
85,프라이머리,86,자니 (Feat. Dynamic Duo),https://www.youtube.com/embed/RktRJRXEtBg
86,아이유,87,잼잼,https://www.youtube.com/embed/2NH7avOIZvc
87,Pharrell Williams,88,Happy (Gru`s Theme From Despicable Me 2),https://www.youtube.com/embed/ZbZSe6N_BXs
88,윤딴딴,89,겨울을 걷는다,https://www.youtube.com/embed/cOCycILmJAM
89,로꼬,90,Summer Go Loco (Feat. GRAY),https://www.youtube.com/embed/0crchV5LZBc
90,박재범,91,몸매 (MOMMAE) (Feat. Ugly Duck),https://www.youtube.com/embed/gx_mg-1WhWw
91,Ariana Grande,92,Side To Side (Feat. Nicki Minaj),https://www.youtube.com/embed/SXiSVQZLje8
92,문문 (MoonMoon),93,비행운,https://www.youtube.com/embed/FvOBwRWaGZg
93,Red Velvet (레드벨벳),94,You Better Know,https://www.youtube.com/embed/qazj-6-5QJM
94,하동균,95,기다릴게,https://www.youtube.com/embed/I1dSAATutT0
95,효린,96,FRUITY (Prod. GroovyRoom),https://www.youtube.com/embed/wxkl92HODrM
96,소녀시대,97,Holiday,https://www.youtube.com/embed/YwN-CN9EjTg
97,볼빨간사춘기,98,처음부터 너와 나,https://www.youtube.com/embed/jYcGHGiFkMo
98,엠씨더맥스,99,잠시만 안녕 (Original),https://www.youtube.com/embed/3Xh6Fk6Q1jI
99,볼빨간사춘기,100,싸운날,https://www.youtube.com/embed/1ri7I32Auhg
