,artist,rank,title,url
65,볼빨간사춘기,66,좋다고 말해,https://www.youtube.com/embed/y5MAgMVwfFs
66,태양,67,WAKE ME UP,https://www.youtube.com/embed/gerhTWvUfJQ
67,로꼬,68,Summer Go Loco (Feat. GRAY),https://www.youtube.com/embed/0crchV5LZBc
68,볼빨간사춘기,69,나만 안되는 연애,https://www.youtube.com/embed/iLlLLBuuvVU
69,방탄소년단,70,봄날,https://www.youtube.com/embed/xEeFrLSkMm8
70,Justin Bieber,71,Love Yourself,https://www.youtube.com/embed/oyEuk8j8imI
71,볼빨간사춘기,72,우주를 줄게,https://www.youtube.com/embed/9U8uA702xrE
72,NU`EST,73,Look (a starlight night),https://www.youtube.com/embed/rKNL7eME7JY
73,WINNER,74,ISLAND,https://www.youtube.com/embed/kRj4toENrnA
74,Ja Mezz,75,"Birthday (Feat. 박재범, Dok2)",https://www.youtube.com/embed/FnPcFXTEvYM
75,창모 (CHANGMO),76,아름다워,https://www.youtube.com/embed/ywwU5ka1fBs
76,박재범,77,"All I Wanna Do (K) (Feat. Hoody, Loco)",https://www.youtube.com/embed/lT7Q93fy1us
77,엠씨더맥스,78,어디에도,https://www.youtube.com/embed/va5rf20Un24
78,The Chainsmokers,79,Something Just Like This,https://www.youtube.com/embed/FM7MFYoylVs
79,TWICE (트와이스),80,KNOCK KNOCK,https://www.youtube.com/embed/8A2t_tAjMz8
80,소녀시대,81,All Night,https://www.youtube.com/embed/f4w8IbQTJpY
81,씨스타,82,LONELY,https://www.youtube.com/embed/KbXV2R_Yd1E
82,혁오 (HYUKOH),83,TOMBOY,https://www.youtube.com/embed/pC6tPEaAiYU
83,한동근,84,그대라는 사치,https://www.youtube.com/embed/WYy2fROj7uU
84,정승환,85,너였다면,https://www.youtube.com/embed/EjHAgoN2KtU
85,아이오아이 (I.O.I),86,소나기,https://www.youtube.com/embed/_AADHVsit4A
86,Junoflo (주노플로),87,"Eyes On Me (Feat. G.Soul, Dok2)",https://www.youtube.com/embed/Elsr9Y0Vlx8
87,NU`EST,88,여왕의 기사,https://www.youtube.com/embed/Y9XXGztRM4Y
88,정키,89,부담이 돼 (Feat. 휘인 Of 마마무),https://www.youtube.com/embed/wxQZ48TgqZk
89,PRODUCE 101,90,나야 나 (PICK ME),https://www.youtube.com/embed/m2Up1-QZBKw
90,길구봉구,91,바람이 불었으면 좋겠어,https://www.youtube.com/embed/ms24eip09Mo
91,김나영,92,그럴걸,https://www.youtube.com/embed/TD3uOASyj1s
92,FTISLAND,93,사랑앓이 (With 김나영),https://www.youtube.com/embed/aSyXgv_v3no
93,악동뮤지션,94,오랜 날 오랜 밤,https://www.youtube.com/embed/wEQpfil0IYA
94,언니쓰,95,맞지?,https://www.youtube.com/embed/Nv5_uvyqI9s
95,마마무,96,Decalcomanie (데칼코마니),https://www.youtube.com/embed/y2OFPvYxZuY
96,신현희와김루트,97,같이 같이,https://www.youtube.com/embed/smMisJFE_00
97,싸이 (PSY),98,어땠을까 (Feat. 박정현),https://www.youtube.com/embed/C67kIdppbRg
98,하이라이트 (Highlight),99,얼굴 찌푸리지 말아요,https://www.youtube.com/embed/1kcwvcbO8MI
99,TWICE (트와이스),100,TT,https://www.youtube.com/embed/ePpPVE-GGJw
