,artist,rank,title,url
66,WINNER,67,ISLAND,https://www.youtube.com/embed/kRj4toENrnA
67,한동근,68,그대라는 사치,https://www.youtube.com/embed/WYy2fROj7uU
68,FTISLAND,69,사랑앓이 (With 김나영),https://www.youtube.com/embed/aSyXgv_v3no
69,정키,70,부담이 돼 (Feat. 휘인 Of 마마무),https://www.youtube.com/embed/wxQZ48TgqZk
70,정승환,71,너였다면,https://www.youtube.com/embed/EjHAgoN2KtU
71,악동뮤지션,72,오랜 날 오랜 밤,https://www.youtube.com/embed/wEQpfil0IYA
72,EXO,73,Forever,https://www.youtube.com/embed/dj-OEG32OR4
73,PRODUCE 101,74,나야 나 (PICK ME),https://www.youtube.com/embed/m2Up1-QZBKw
74,EXO,75,기억을 걷는 밤 (Walk On Memories),https://www.youtube.com/embed/2CBz0h0AAwM
75,신현희와김루트,76,오빠야,https://www.youtube.com/embed/OmjN_b07syo
76,길구봉구,77,바람이 불었으면 좋겠어,https://www.youtube.com/embed/ms24eip09Mo
77,싸이 (PSY),78,어땠을까 (Feat. 박정현),https://www.youtube.com/embed/C67kIdppbRg
78,마마무,79,Decalcomanie (데칼코마니),https://www.youtube.com/embed/y2OFPvYxZuY
79,TWICE (트와이스),80,TT,https://www.youtube.com/embed/ePpPVE-GGJw
80,볼빨간사춘기,81,심술,https://www.youtube.com/embed/ehsogf-UI2A
81,딥플로우,82,"작두 (Feat. 넉살, Huckleberry P)",https://www.youtube.com/embed/-UCFn6csp0c
82,아이오아이 (I.O.I),83,소나기,https://www.youtube.com/embed/QCKOWQ-_CYc
83,Charlie Puth,84,See You Again (폴 워커 추모 엔딩곡),https://www.youtube.com/embed/_ogDymI9BKM
84,EXO,85,너의 손짓 (Touch It),https://www.youtube.com/embed/gOqxxYbHk-Y
85,김나영,86,그럴걸,https://www.youtube.com/embed/TD3uOASyj1s
86,지코 (ZICO),87,ANTI (Feat. G.Soul),https://www.youtube.com/embed/nByyfquk0pQ
87,EXO,88,다이아몬드 (Diamond),https://www.youtube.com/embed/QQRJjoGrsqw
88,소녀시대,89,All Night,https://www.youtube.com/embed/f4w8IbQTJpY
89,프라이머리,90,"~42 (Feat. 샘김 (SAM KIM), 에스나 (eSNa))",https://www.youtube.com/embed/FAoCaAnsHPE
90,하이라이트 (Highlight),91,얼굴 찌푸리지 말아요,https://www.youtube.com/embed/1kcwvcbO8MI
91,EXO,92,소름 (Chill),https://www.youtube.com/embed/OFtdDL-0vZA
92,EXO,93,내가 미쳐 (Going Crazy),https://www.youtube.com/embed/gCYZg_N1fMw
93,TWICE (트와이스),94,CHEER UP,https://www.youtube.com/embed/c7rCyll5AeY
94,Crush,95,Beautiful,https://www.youtube.com/embed/W0cs6ciCt_k
95,하이라이트 (Highlight),96,CALLING YOU,https://www.youtube.com/embed/b6l0x9xxk4k
96,Red Velvet (레드벨벳),97,Rookie,https://www.youtube.com/embed/J0h8-OTC38I
97,한동근,98,이 소설의 끝을 다시 써보려 해,https://www.youtube.com/embed/fmiEBlS5dCk
98,아이유,99,이 지금,https://www.youtube.com/embed/sB6UGX2YPjQ
99,방탄소년단,100,피 땀 눈물,https://www.youtube.com/embed/hmE9f-TEutc
